VDDR,45
VDDR_RF,48
VDDS,44
VDDS2,13
VDDS3,22
VDDS_DCDC,34
X48M_N,46
X48M_P,47
X32K_Q1,8
X32K_Q2,9
DCDC_SW,33
DCOUPL,23
DIOS,10
DIO_6,11
DIO_7,12
DIO_8,14
DIO_9,15
DIO_10,16
DIO_11,17
DIO_12,18
DIO_13,19
DIO_14,20
DIO_15,21
DIO_16,26
DIO_17,27
DIO_18,28
DIO_19,29
DIO_20,30
DIO_21,31
DIO_22,32
DIO_23,36
DIO_24,37
DIO_25,38
DIO_26,39
DIO_27,40
DIO_28,41
DIO_29,42
DIO_30,43
JTAG_TMSC,24
JTAG_TCKC,25
RESET_N,35
RF_P_24GHZ,1
RF_N_2_4GHZ,2
RF_P_SUB_1GHZ,3
RF_N_SUB_1GHZ,4
RX_TX,7
TX_20DBM_P,5
TX_20DBM_N,6
